,INTERACTOR_A,INTERACTOR_B
958,TNS1,CSK
959,TNS1,CTNNAL1
960,TNS1,DMD
961,TNS1,DTNB
962,TNS1,FAM175B
963,TNS1,SNTB1
964,TNS1,SNTB2
965,TNS1,SORBS3
966,TNS1,UTRN
967,CDC14B,MSH6
968,PTPRT,PHKB
969,SSH3,CDK5RAP2
970,TPTE2,CDK5RAP2
971,EYA2,PHKB
972,POLE,POLE2
973,PHKG2,PHKB
974,MPPED1,PHKB
975,MED19,MED13
976,MED21,MED13
977,C7orf60,SZT2
978,TRUB2,FYCO1
979,RAPGEF5,ANK1
980,MED18,MED13
981,CCNC,MED13
982,TINAGL1,HSPG2
983,ITFG2,SZT2
984,HIF1AN,FYCO1
985,MED1,MED13
986,KPTN,SZT2
987,PCDHB11,TMTC2
988,CHL1,ANK1
989,CCDC68,FYCO1
990,FBXL4,PLCD1
991,MED7,MED13
992,PCDHGB1,TMTC2
993,C1orf87,CDK5RAP2
994,FYCO1,MLYCD
995,C6orf141,PLEC
996,IL31RA,PLCD1
997,ANK1,FIG4
998,DEPDC5,SZT2
999,ANK1,PIKFYVE
1000,VBP1,PHKB
1001,ZNF408,HSPG2
1002,CDK8,MED13
1003,PPP1CA,RIF1
1004,TCL1B,MED13
1005,DOK4,PHKB
1006,GDF5,PLCD1
1007,LMO2,AHNAK2
1008,TCP10L,FYCO1
1009,LPXN,CDK5RAP2
1010,XAGE1B,CELSR2
1011,SIRT6,CELSR2
1012,C1QTNF2,SZT2
1013,CCDC101,FYCO1
1014,FYCO1,SASS6
1015,RAB11B,PLCD1
1016,PILRA,B4GALNT3
1017,FGL2,CDK5RAP2
1018,TEX35,PLCD1
1019,PRKAR2B,CDK5RAP2
1020,TMEM30B,CELSR2
1021,DKKL1,CELSR2
1022,PPP1CC,RIF1
1023,ZFP41,FRAS1
1024,CDK19,MED13
1025,PRKACB,CDK5RAP2
1026,SCGB2A2,B4GALNT3
1027,PDE4DIP,CDK5RAP2
1028,FYCO1,DTNA
1029,TULP3,PHKB
1030,PYHIN1,PLCD1
1031,ASF1A,RIF1
1032,GPBP1,PLCD1
1033,GAA,B4GALNT3
1034,LGALS3BP,PHKB
1035,MB,ANK1
1036,DFNA5,PLEC
1037,ANK1,PDS5B
1038,CLK2,BCLAF1
1039,TAZ,FRAS1
1040,CCDC68,PLEC
1041,RBM24,PLCD1
1042,NEFM,PLEC
1043,GLRX3,AHNAK2
1044,GJB7,AHNAK2
1045,IKBIP,CDK5RAP2
